St_city,Ed_city,Average_price
orleans,montpellier,6922
paris,lille,1723
paris,rennes,2650
paris,lille,3440
metz,bruxelles,2447
la-rochelle,bordeaux,1532
sain-bel,lyon,600
dijon,paris,2287
paris,rennes,2642
paris,berlin,5725
geneve,montpellier,3130
montauban,la-roche-sur-yon,5106
toulon,saint-etienne,2465
arras,beauvais-aeroport-paris,1200
bordeaux,lille,3825
lille,arles,5112
paris,arles,4669
chalons-en-champagne,paris,2916
paris,arles,4650
chalons-en-champagne,paris,1412
paris,arles,3520
chalons-en-champagne,paris,2590
lille,arles,7450
paris,amsterdam,3716
les-sables-dolonne,bordeaux,2100
lille,marseille,4453
paris,amsterdam,4050
bordeaux,les-sables-dolonne,3063
les-sables-dolonne,bordeaux,2163
valenciennes,arles,5862
paris,rouen,1079
nancy,saarbrucken,1187
paris,rouen,1079
aeroport-paris-vatry-,troyes,5300
lyon,marseille,2245
rouen,paris,1400
amiens,paris,1095
bordeaux,montelimar,5250
paris,milano,4906
amiens,lille,1050
boulogne-sur-mer,arras,2685
amiens,lille,1050
lyon,nantes,3860
pau,paris,5593
avignon,marseille,857
pau,paris,5563
paris,morez,4008
marseille,avignon,1077
paris,pau,4259
lyon,geneve,2066
toulon,auch,3250
lyon,geneve,1390
marseille,avignon,1077
limoges,toulouse,2130
toulon,auch,3794
rennes,paris,2660
metz,paris,2297
toulouse,nimes,2136
annecy,lyon,1068
caen,saint-malo,1259
bruz,paris,2685
rennes,paris,2534
saint-brieuc,grenoble,3900
rennes,grenoble,4233
saint-brieuc,grenoble,3900
clermont-ferrand,compiegne,3666
besancon,cannes,3586
paris,nantes,2793
besancon,cannes,3586
paris,nantes,2900
besancon,cannes,3640
lyon,alicante,12090
paris,biarritz,4105
biarritz,paris,3222
paris,nantes,2791
besancon,cannes,3586
paris,toulouse,4405
aix-en-provence,la-rochelle,3740
la-rochelle,aix-en-provence,3641
aix-en-provence,la-rochelle,4960
la-rochelle,aix-en-provence,3641
paris,london,5500
la-rochelle,aix-en-provence,4888
aix-en-provence,la-rochelle,5584
aix-en-provence,toulon,627
la-rochelle,aix-en-provence,4337
lezignan-corbieres,marseille,1991
geneve,marseille,3260
nantes,lorient,1224
bruxelles,rennes,4617
nantes,lorient,1295
paris,deauville,1517
paris,trouville-deauville,1517
deauville,paris,1519
paris,dortmund,2730
paris,deauville,1517
dole-choisey,challans,5070
paris,le-touquet-paris-plage,1560
dole-choisey,challans,5450
massy,colmar,3340
angers,montpellier,3348
nantes,marseille,3578
dole-choisey,amsterdam,4204
lyon,dijon,1446
pamiers,toulouse,511
dole-choisey,amsterdam,4443
toulouse,vichy,3112
le-touquet-paris-plage,london,4535
guingamp,paris,2876
bordeaux,besancon,3842
paris,deventer,3964
bordeaux,besancon,5800
bruxelles,bourges,2506
nantes,lorient,1288
lorient,nantes,1100
paris,nantes,2900
lorient,nantes,1600
saint-dizier,paris,1808
lens,biarritz,3790
paris,rennes,2481
tours,narbonne,4695
toulouse,angouleme,2253
paris,perpignan,4782
chateauroux,lyon,3113
nantes,paris,2195
strasbourg,amiens,3378
paris,copenhagen,8220
paris,toulouse,4742
paris,nantes,2086
paris,toulouse,4742
paris,rouen,942
paris,nantes,2900
clermont-ferrand,rouen,2763
lyon,paris,3147
nantes,lille,4850
nantes,lillers,4333
besancon,lyon,1900
strasbourg,troyes,2747
saint-brieuc,gennevilliers,3525
marseille,paris-aeroport-orly,5900
aix-en-provence,valencia,8318
marseille,strasbourg,4193
strasbourg,hamburg,3195
marseille,strasbourg,4400
paris,marseillan,5712
bourges,amsterdam,3554
angouleme,montpellier,3313
soissons,nantes,3500
aubagne,hyeres,500
douai,bordeaux,5311
lyon,dijon,1483
nice,lyon,3075
saint-priest,dijon,1516
paris,marseille,5282
toulon,paris,6004
lille,bruxelles,1090
rodez,toulouse,1069
paris,amsterdam,4550
paris,annecy,3836
lille,bruxelles,1072
toulouse,albertville,5333
tourcoing,lyon,4363
valenciennes,paris,1820
paris,ansbach,4535
paris,lyon,3492
lyon,paris,3440
